code,onset,offset,code.value
transcribe,00:15:22.806,00:15:23.306,"b,b"
transcribe,00:15:24.496,00:15:24.996,"m,are you drawing yourself?"
transcribe,00:15:26.634,00:15:27.134,"m,lets get your drum"
transcribe,00:15:27.192,00:15:27.692,"b,b"
transcribe,00:15:28.184,00:15:28.684,"b,b"
transcribe,00:15:29.052,00:15:29.552,"b,wow"
transcribe,00:15:30.292,00:15:30.792,"b,wow"
transcribe,00:15:36.011,00:15:36.511,"b,b"
transcribe,00:15:49.591,00:15:50.091,"m,can you draw on that?"
transcribe,00:15:50.742,00:15:51.242,"m,ok"
transcribe,00:15:53.346,00:15:53.846,"m,well you decorated your drum"
transcribe,00:15:54.835,00:15:55.335,"m,so"
transcribe,00:15:57.470,00:15:57.970,"b,c"
transcribe,00:16:04.180,00:16:04.680,"m,what's that?"
transcribe,00:16:08.119,00:16:08.619,"m,it's ok"
transcribe,00:16:12.395,00:16:12.895,"b,b"
transcribe,00:16:13.729,00:16:14.229,"b,b"
transcribe,00:16:24.562,00:16:25.062,"b,c"
transcribe,00:16:29.739,00:16:30.239,"b,b"
transcribe,00:16:32.235,00:16:32.735,"b,b"
transcribe,00:16:42.634,00:16:43.134,"b,b"
transcribe,00:16:44.094,00:16:44.594,"b,b"
transcribe,00:16:45.597,00:16:46.097,"m,are you being silly?"
transcribe,00:16:47.317,00:16:47.817,"m,are you sitting in your cheese hat?"
transcribe,00:16:49.224,00:16:49.724,"m,you can't fit in there"
transcribe,00:16:50.014,00:16:50.514,"b,b"
transcribe,00:16:50.945,00:16:51.445,"b,b"
transcribe,00:16:52.013,00:16:52.513,"b,b"
transcribe,00:16:52.896,00:16:53.396,"b,b"
transcribe,00:16:53.766,00:16:54.266,"b,b"
transcribe,00:16:54.122,00:16:54.622,"b,c"
transcribe,00:16:57.809,00:16:58.309,"b,c"
transcribe,00:17:02.848,00:17:03.348,"b,b"
transcribe,00:17:04.118,00:17:04.618,"b,b"
transcribe,00:17:08.023,00:17:08.523,"b,yeah"
transcribe,00:17:08.800,00:17:09.300,"m,yeah"
transcribe,00:17:08.939,00:17:09.439,"b,b"
transcribe,00:17:10.955,00:17:11.455,"b,b"
transcribe,00:17:14.798,00:17:15.298,"b,c"
transcribe,00:17:17.958,00:17:18.458,"b,c"
transcribe,00:17:20.237,00:17:20.737,"b,b"
transcribe,00:17:21.448,00:17:21.948,"b,c"
transcribe,00:17:32.484,00:17:32.984,"m,didn't know you could do that"
transcribe,00:17:36.731,00:17:37.231,"b,c"
transcribe,00:17:40.091,00:17:40.591,"b,c"
transcribe,00:17:44.075,00:17:44.575,"b,c"
transcribe,00:17:45.363,00:17:45.863,"b,c"
transcribe,00:17:48.120,00:17:48.620,"b,c"
transcribe,00:17:50.182,00:17:50.682,"b,c"
transcribe,00:17:51.407,00:17:51.907,"m,what are you doing?"
transcribe,00:17:53.298,00:17:53.798,"m,what are you doing?"
transcribe,00:17:54.738,00:17:55.238,"b,b"
transcribe,00:18:03.750,00:18:04.250,"b,c"
transcribe,00:18:06.598,00:18:07.098,"m,what are you doing?"
transcribe,00:18:07.076,00:18:07.576,"m,are you being silly?"
transcribe,00:18:08.713,00:18:09.213,"b,c"
